id,review,label
재섭유,비싸다,0
목수 타카맨,커피 맛 보통임,0
John Doe,커피가 별로,0
문영희,장소협소,0
윤영식,이디야도 조금씩 맛이 틀린데 호평점이 제일 아메리카노가 연해요;,0
꿀americano,한참 기다렸어요. 어찌 바쁜 시간에 혼자 일하시는지....,0
Ssun Im,여기는 다른곳으로 변경된지 오래인데 왜 계속 이상호명으로 뜨지? 여긴 정말정말 가지마요기름에 쩔어있는 도넛이 취향이면 가고,0
박신후,미친 거 같습니다. 이 좋은 풍경에 질질짜는 00년대초반풍 랩발라드만 틀어대는데 누가 선곡하는지 최악이네요..,0
오미카엘,내인생 최악의 커피맛.,0
*여수 뽀빠이,카운터 아가씨 소리가 넘 커서 짜증.,0
Jessica,지루한 곳,0
Jaekwang Cho,비쌉니다. 그리고 이상한 나무 포카락 같은걸 주는데 잘 작동하지도 않습니다.,0
하지은,커피 드럽게 맛 없음. 가격 사악함. 스벅 가격 두배임.,0
이난영,"커피 진짜 맛없고 빵은 그럭저럭, 풍경값",0
차수빈,"음료랑 베이커린 맛있는데사람이 너~~~~~~~~~~~~무 많음출입 QR인식 기기도 그사람 많은데 한개..,두개정도  있으면 좋겠음사람이 많아도 너~~~~~~~~~~~~무많음",0
안훈이,최악사람만 바글바글주차도 개판가격도 비싸,0
남ᄋᄋ,뛰어난 위치에 외관만 멋진 카페.  커피는 맛도 없는데 7500원ㅎ 빵은 데워주지도 않고 찬 상태로 줌(데워져야 하는 빵이었음). 그리고 제일 놀라운 건 1층 들어서자마자 화장실 냄새가 가득하다는 것.(특유의 화장실 방향제냄새 + 청소안한 냄새!!!!!!)화장실 상태는 안봐도 비디오라 들어갈 엄두도 못냄테이블 안닦여있고 전체적으로 청소가 정말 안되어있음창밖 풍경 앉아서 보려고 찾은 카페인데먼지쌓인 주변환경이 시선을 빼앗는다주변 조금만 둘러보면 카페가 정말 많으니굳이 사람 붐비고 관리안된 카페 갈 이유 ..없음..후기 원래 안쓰는 사람이지만혹시라도 이 카페를 보기 위해 이 장소를 찾는 사람들을 뜯어말리고자 하는 마음으로 써내려감.,0
단고베,사람많고 정신없고... 커피가 귀로들어가는지 코로들어가는지 모를정도근데 사람없을때가면 좋을듯,0
MANO C,한번은 실수로 갈수있지만 두번은 갈 필요없음.가지않았다면 굳이 가지않는것이 좋을 듯. 차리리 그 앞 스벅이 나을 듯.,0
오스번,진동벨이 계속 삐용삐용거려서 시끄럽고 커피는 산미가 강하고 빽다방처럼 에스프레소온더락으로 세 번 빨았더니 없어지네요..아바라도 본래의 산미를 숨기지 못하고여 내부는 거미줄이 많고 의자가 불편하고 춥고요..빵은 컷팅을 하다가 말아서...후 마늘빵이랑 다쿠아즈는 맛있네요. 이럴거면 커팅칼을 주시지..오시는 분들 사진 찍고 텤아웃해서 나가세요,0
함덕공유방,바닷가 앞이라서 그거 너무 좋은뎅그거 말고는 딱히 좋은점을 못찾았어요 ㅜㅜ사람이 너무 많아서 뭔가 시장속같고.커피가 맛이 없어서. 빵이라도 먹자 했는뎅빵이 너무 기름진 ㅜㅜ 버터랑 설탕덩어리 같은 느낌커피랑 빵값도 너무 비싼듯한.직원들이랑 알바생들인듯 한. 바빠서 정신없는건어쩔수 없다지만. 테이블좀 잘 닦아주셨으면 좋겠네요.너무 끈적거리던 !!,0
천홍근,쇼파는 빈티지인지 버린쇼파 주워온건지 정말 빵꾸난 쇼파는 정말 오랜만에 봤다.커피는 왠만하면 다 마시는데 정말 맛없어서 ㅜㅜ 처음에 오픈할때는 커피정말 맛있었는데 어쩌다 이렇게 됬는지~~~~................,0
L R,너무 멋진 인테리어 . 커피가 맛 없다 아쉬움 크다,0
우헤헤,가서보니 에스프레소가 안된다더라... 그래서 커피뭐되냐니까 콜드브루미리내려놓은게있다해서 달라니까 캔커피 ㅋㅋ 5천인가6천인가 살다살다 캔커피를 그돈주고사먹다니..  혹시하고 먹었더니 진짜 맛도없고 이상한짠맛이나서 카운터가서 왜간장을주셨나요?라고할뻔했지만 알바가 예뻐서 그냥 참았다.....,0
황광현,"원두는 그런대로 좋았으나, 바리스타 기술이나 많이 미흡하고, 커피맛도 상당히 미흡함. 인테리어나 시설, 디저트 정도 보고 갈듯.",0
VIVI AN,커피가 너무 싱거워요 아이스크림라떼는 만드는 분들이 좀 먹어보고 개선을 하셔야 되겠네요 커피맛이 아예 안납니다,0
Jeju life정미,날파리가 날아다니고 청소 위생상태가 안좋았어요,0
김ᅳᄂᄃ,드립커피 맛없고비쌈빵은제과점빵보다덜달고짠듯매장에날벌레가많아서빵먹을때계속손휘저어야함직원은요청에대꾸도없음,0
공의은혜,비싸요..,0
캡틴,정말 대화가 안될 정도로 음악소리가 시끄러워서 잠깐 머물기도 힘드네요. 참고하세요 무슨 카페가 클럽도 아니고 음악을 소음 수준입니다  이용에 꼭 참고 하세요,0
DID K,주차장자리없고 사람많아서 나가는데 음료안마시고나오면 주차비4000원내라고하네요 사람많아요 좋은곳이긴한가봄,0
Jennifer Song,"사람 너무 많아서 도떼기 시장이 따로 없었음.테이블도 너무 적어서 자리 나면 앉아야 함.외국인 손님들이 많으니 외국인을 위한 메뉴판이 있었으면 함. 앞에 일본인들 주문 못해서 줄이 엄청 길어짐. 번역기 들고 버벅대다 주문 포기하던데 안타까웠고, 나중에 보니 중국인 메뉴판은 따로 있는거 같던데 요청해야 주는 것 같았음. 잘 보이는곳에 비치해 두었으면 함. 안그래도 사람 많은데 줄도 길고 기다리는데 힘들었음. 그리고 주차, 들어가는 길이 좁고 차가 많아 몽상 전용 주차장이라고 표기되어 있는곳에 2천원 내고 주차함. 나중에보니 몽상과는 무관해 보임. 차라리 까페 골목 들어가기 전에 주차 해결하고 들어가는게 나음. 골목이 너무 좁고 복잡해서 들어가고 나올때 번거로움. 마지막으로 음료 맛없고 비쌈. 까페 건물 외관이 이뻐 별하나 줌.",0
