cafe_id,name,study_score,seat_selection_count,concentration_selection_count,total_review_count,Feature
1,에이트(궁동),0.015176374,32,5,2438,"넓은 홀, 2층 이상, 베이커리, 빵, 케이크,샌드위치, 주차 가능"
2,커피인터뷰(궁동),0.026092629,33,7,1533,주차 가능
3,소신(궁동),0.007481297,1,2,401,"빵, 케이크"
4,글로리데이즈(궁동),0.052721088,16,15,588,"빵, 케이크"
5,"마을(보드게임 만화 카페, 궁동)",0.236681887,172,139,1314,"넓은 홀, 지하, 케이크, 빵, 1인석"
6,스타벅스 충남대정문점(궁동),0.087338804,41,108,1706,"케이크, 빵, 샌드위치, 넓은 홀"
7,"시크릿(룸카페, 궁동)",0.123873874,29,26,444,"빵, 케이크"
8,플라밍고 733(궁동),0.043859649,11,4,342,"케이크, 2층 이상"
9,투썸플레이스 충남대점(궁동),0.123015873,14,17,252,"빵, 케이크, 넓은 홀"
10,공차 충남대점(궁동),0.033333333,6,8,420,
11,할리스 충남대점(궁동),0.218954248,18,49,306,"1인석, 스터디룸, 넓은 홀, 빵, 케이크"
12,메가MGC커피 충남대점(궁동),0.039832285,15,4,477,"빵, 케이크"
13,이디야 충남대점(궁동),0.065891473,3,14,258,"빵, 케이크"
14,더벤티 충남대점(궁동),0.004608295,1,0,217,
15,팔공티 충남대점(궁동),0.010989011,2,2,364,
16,파리바게뜨 대전(궁동),0.015748031,3,1,254,"베이커리, 빵, 케이크, 샌드위치"
17,던킨 대전충남대점(궁동),0.101941748,24,18,412,"베이커리, 빵"
18,카페카페(궁동),0.073059361,7,9,219,"빵, 케이크, 2층 이상"
19,쥬씨(궁동),0,0,0,355,
20,루티나(봉명동),0.029657795,22,0.073059361,1315,"빵, 케이크, 넓은 홀"
21,유람(봉명동),0,0,0,753,
22,엔제리너스 대전유성D/I점(봉명동),0.014851485,4,2,404,"빵, 케이크, 넓은 홀, 2층 이상"
23,르뺑99-1(봉명동),0.020372011,14,9,1129,"베이커리, 빵, 케이크"
24,커피인터뷰 봉명(봉명동),0.039755352,21,5,654,"빵, 케이크, 주차 가능"
25,달콩수제팥빙수단팥죽(봉명동),0.004405286,0,1,227,
26,블레스롤 대전유성본점(봉명동),0.061452514,55,11,1074,"케이크, 넓은 홀, 2층이상, 주차 가능"
27,하루팡(봉명동),0.008385744,3,1,477,"베이커리, 빵, 케이크"
28,파이룸(봉명동),0.011650485,2,4,515,"베이커리, 빵, 케이크"
29,데일리오아시스 대전유성점(봉명동),0.055555556,27,4,558,"빵, 케이크"
30,헬로우블룸(봉명동),0.030549898,10,5,491,"빵, 케이크"
31,스토랑트커피 대전봉명점(봉명동),0.15576324,18,32,321,"빵, 케이크, 넓은 홀, 2층 이상"
32,쉬즈베이글(봉명동),0.033660589,18,6,713,"빵, 샌드위치, 주차 가능"
33,스타벅스 대전도안DT점(봉명동),0.065317387,65,77,2174,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능"
34,스타벅스 대전유성점(봉명동),0.094763092,50,64,1203,"빵, 케이크, 샌드위치, 넓은 홀"
35,할리스 유성온천점(봉명동),0.140456182,50,67,833,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능"
36,설빙 유성온천점(봉명동),0.040697674,15,6,516,주차 가능
37,파스쿠찌 유성온천역점(봉명동),0.137820513,26,17,312,"빵, 케이크, 샌드위치"
38,파스쿠찌 대전 봉명점(봉명동),0.133233533,39,50,668,"빵, 케이크, 샌드위치, 넓은 홀, 1인석"
39,탐앤탐스 대전유성점(봉명동),0.145454545,19,29,330,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상"
40,파리바게뜨 유성푸르지오점(봉명동),0.020571429,13,5,875,"베이커리, 빵, 케이크, 샌드위치"
41,카페소담(봉명동),0.073529412,13,7,272,
42,빽다방 대전유성리베라점(봉명동),0.023529412,5,7,510,
43,빽다방 대전봉명우산점(봉명동),0.029962547,5,3,267,
44,킁킁커피(봉명동),0.024390244,5,3,328,빵
45,이디야 대전유성온천역점(봉명동),0.06234414,16,9,401,"빵, 케이크"
46,투썸플레이스 유성봉명점(봉명동),0.089485459,13,27,447,"빵, 케이크, 주차 가능, 넓은 홀, 스터디 룸"
47,투썸플레이스 대전유성온천점(봉명동),0.076738609,22,10,417,"빵, 케이크, 넓은 홀, 2층 이상"
48,투썸플레이스 대전도안바로세움점(봉명동),0.104477612,34,22,536,"빵, 케이크, 주차 가능, 넓은 홀"
49,감성커피 대전유성점(봉명동),0.016333938,6,3,551,빵
50,뚜레쥬르 대전도안봉명점(봉명동),0.020359281,11,6,835,"베이커리, 빵, 케이크, 샌드위치"
51,디저트39 대전(봉명동),0.022068966,13,3,725,"빵, 케이크"
52,빽다방 대전유성센트럴점(봉명동),0.007662835,0,2,261,
