cafe_name,overview,concept
에이트,주차도 편하고 뷰가 엄청 좋아요 사진 찍기 좋은 장소들도 많고 테이블 간격도 넓어서 이야기하거나 공부하기도 좋은 것 같아요 재방문 의사 있습니당.  노트북 들고 와서 백색 소음 듣고 공부하긴 좋아요. 도심 속 인테리어가 멋진 카페 넓은 공간이라 편하고 좋았던 곳 와 정말 좋은 대형카페에요ㅜ 메뉴 다 맛있고 무엇보다 화장실이 감동,"넓은 홀, 2층 이상, 베이커리, 빵, 케이크,샌드위치, 주차 가능"
커피인터뷰,"숲속에 온듯한 온실에서 커피 한잔 분위기 좋고 커피 맛있고 야외에서도 멋질 듯해요. 밤풍경도 궁굼하네요 숲속에 온듯한 온실에서 커피 한잔 분위기 좋고 커피 맛있고 야외에서도 멋질 듯해요. 밤풍경도 궁굼하네요 분위기도 좋고 넓었습니다 그리고 디저트도 맛있었고 음료들도 맛있어서 좋았습니다 여러건물로 나뉘어져 있어서 넓은데도 아늑한 곳이에요 카페 컨셉이 너무 맘에 들어요 바질스콘이랑 커피가 너무 완벽해요 
가을되면 꼭 다시 들르고 싶은 카페에요  ",주차 가능
소신,"인테리어도 더 예뻐지고 분위기가 더좋아졌어요  시즌으로 나오는  무화과타르트는 감동입니다 일단 카페 분위기 너무 조용하고 좋아요 의자도 여러개고 인스타 갬성 이미 포장 다하셨는데 메뉴변경 요청 드렸는데도 진짜 친절하게 해주셨어요 안 될 줄 알았는데 진짜 여자직원분이 너무 친절하셔서 감동 받았습니다 분위기 좋고 이야기 하기 딱 좋은 카페 대전카페 카페소신분위기 좋은 곳 친절하시고 음료도 맛있었다  밤 타르트랑 무화과 타르트 먹었어요!! 
둘다 너무 맛있고 매력이 달라서 다음에 옥수진도 먹어보고싶어용!! 
남자친구는 밤이 더 맛있었다고 하네용!!  
디저트 모양이 너무 먹기 아까웠는데 
한입맛본 순간 멈출 수 없었네용 ㅎㅎ","빵, 케이크"
글로리데이즈,분위기도 좋고 탁 트인 공간이라서친구와 수다하기에도 좋고 넓은 책상에서 공부하기에도 좋아요 분위기 너무 좋고 야외 테이블이 있어서 요즘 같은 날씨에 딱이에요 콘센트 있는 자리도 있어 과제나 공부하기에도 좋으네용 디저트로 직접 만드는 타르트는 종류가 많아서 더 좋네용 아인슈페너 마셨는데 존맛탱 커피 향기도 너무 좋아요 쵝오 타르트 맛집 인정너무 맛있어요 카페도 넓고 대화하기 좋았어요핫플 인정 인테리어가 너무 이쁘고요 타르트도 종류도 다양하니 다 맛있어보였어요 시그니처 메뉴인 아인슈페너 맛보았는데 진짜 맛있더라구요!!애플타르트랑 꿀조합으로 넘 맛있게 먹었어용???오레오스무디는 말해뭘해요 달달하니 맛있어요 충남대근처에 이렇게 예쁜 카페가 있었다니 커피도 맛있고 타르트는 더 맛있어요,"빵, 케이크"
마을,"여기 정말 자주오는데 올때마다 좋아요 공부하러 오기에도 보드게임 하러 오기에도 커피 마시러 오기에도 좋아요   조명도 많고 의자도 안락하고
사장님도 너무 친절하시고 음료도 너무 맛있어요ㅠㅠ 보드게임 하기도 딱 좋고 공부하기도 좋고 이야기 나누기도 좋아요 마을 대박나세여
편하게 쉬러올수도있고 공부하기도 좋고 놀기도 좋고 좋은 공간입니다
항상 넓은 책상덕분에 공부 잘하고 갑니다 중국어 공부하러 궁동 카페를 찾다가 우연히 알게 된 카페사장님 넘  친절하시구 음료도 너무 맛있어요공부만 하기엔 지루할 수 있는데 만화책도 있고 보드게임도 많이 있어서 쉬어가며 공부할 수 있음에 너무 좋은 것 같아요자주 올게요
공부하기도 좋고공부하다 지칠때 보드게임 한판 해도 재밌어용음료도 맛나유 ","넓은 홀, 지하, 케이크, 빵, 1인석"
스타벅스 충남대정문점,공부하기 좋습니단 혼자 공부하러 가기엔 최고 하지만 번화가 위치해서 그런지 오가는 사람은 많아요 제가 다녀본 스벅 중엔 개인 자리가 제법 많은 편이라고 생각되어요 충남대 정문 스타벅스 공부하시는 분들이 많네요 큰 테이블도 몇개 있습니다 지하주차장도 있는거 같은데 주차난이도가 좀 있습니다 충대 앞에서 공부하기 좋은카페 같아요 항상 자주 이용하는 곳이에요공부하기도 괜찮고 수다떨기도 괜찮아서연령층도 다양한 것 같긴한데 대부분은 학생들ㅎㅎ 공부하기좋아요 공부하는 충대 학생들로 바글바글 스벅 직원분들은 항상 친절하십니다 매장이 커서 좋았어요,"케이크, 빵, 샌드위치, 넓은 홀"
시크릿,모임할 때 스터디룸을 사용합니다 이야기하기 좋은 프라이빗한 공간 같아요 혼자서 공부할 때도 스터디룸 사용해도 좋았습니다 사장님 너무 친절하시고 방도 따듯해요 음료수도 맛있어요ㅠㅠ 석류에이드 추천드려요 색칠공부도 재밌고 보드게임 종류도 많아서 좋네요 자주 올게요 서비스도 너무 친절하셨어요 일반 프렌차이즈 카페 비용보다 저렴한데 방에서 혼자 공간 사용하는게 좋았구요 공부하기도 좋았습니다 시험기간이라 친구와 시험공부하다 갑니다 조용해서 좋아요 사장님도 친절하시고 감사합니다ㅎㅎ 자주 갈게요ㅎㅎ 쾌적하고 안락한 공간에서 편안히 쉴 수 있어서 좋았습니다 창가자리는 빛도 잘 들어서 하늘 맑은 날엔 푹 쉬기도 공부하기도 좋았어요 방 안이 따뜻하고 아늑하고 조용했어요 공부하기 좋더라고요 공부하느라 티비는 못 봤는데 티비도 있어서 놀기에도 좋은거 같아요 온돌바닥 덕분에 따뜻하게 공부하다 갑니다 과제 하기 너무 싫었는데 ㅠㅠ 귤도 서비스로 주시고 대박나세여 정말 ㅠㅠㅠ 조용히 공부하고 놀기 딱좋아요 음료도 맛나고 좋네용,"빵, 케이크"
플라밍고 733,역시 여기 그냥 맛집으로 도장 찍었어요 꿀고구마 치케도 너무 맛있게 먹었어요 공부도 잘 되고 완전 강추 맛있어요 인기 많은 것 같아요 분위기 있어요  디저트 진짜 다양 ㅠㅠ이쁘고 노래좋아요 장소도 이쁘구 사장님두 친절해요,"케이크, 2층 이상"
투썸플레이스 충남대점,조용하게 공부나 과제하는 학생들이 많아요커피맛은 투썸 맛이겠죠 ㅎㅎ 투썸 오랜만에 갔는데 맛있네요 ㅎㅎ 대학가 근처라 그런지 과제나 공부하기 좋은 분위기 같습니다 매장이 넓어서 좋아요 ㅎㅎ 공부하기 좋습니당 공부하기 좋아요 공부하기좋아여 투썸은 케이크 사러 와요 직원분 너무 친절하셨어요ㅎㅎㅎ 음료도 맛있었습니다 맛나고 쾌적,"빵, 케이크, 넓은 홀"
공차 충남대점,맛있어서 다먹음 ㅠ 직원분들 친절해요 너무 맛있어서 자꾸 생각날 것 같아요 매장 깔끔하고 좋아요 친절하고 항상 좋아요 맛있어요,
