카페,카페 도로명 주소,위도,경도,평균평점,평균가격,공부환경점수,매장이 청결해요,좌석이 편해요,집중하기 좋아요,카테고리 총 투표수,지역 위치
에이트(궁동),34183 대전광역시 유성구 한밭대로 458 에이트 ,36.359845,127.349831,4.3,6600,0.058655,106,32,5,2438,궁동
커피인터뷰(궁동),34136 대전광역시 유성구 한밭대로371번길 25-3 커피인터뷰,36.3645357,127.3413095,4.45,6176,0.059360731,51,33,7,1533,궁동
소신(궁동),34138  대전광역시 유성구 농대로15번길 7 소신,36.361609,127.35269,4.55,4471,0.069825436,25,1,2,401,궁동
글로리데이즈(궁동),34137 대전광역시 유성구 대학로 129 1층 글로리데이즈,36.3613032,127.3481328,4.59,5455,0.119047619,39,16,15,588,궁동
"마을(보드게임 만화 카페, 궁동)",34138 대전광역시 유성구 대학로151번길 38 마을,36.362349,127.3503169,4.75,4521,0.273211568,48,172,139,1314,궁동
스타벅스 충남대정문점(궁동),34138 대전광역시 유성구 대학로 82 스타벅스,36.3606508,127.3446438,4.52,5818.75,0.184056272,165,41,108,1706,궁동
"시크릿(룸카페, 궁동)",34138 대전광역시 유성구 대학로155번길 21 킹스크로소빌딩 7층 궁동시크릿룸카페,36.3606244,127.3507034,4.92,6071,0.227477477,46,29,26,444,궁동
츄러스1500(궁동),34137 대전광역시 유성구 궁동로18번길 38 1층 츄러스1500,36.3626712,127.3494106,4.54,3617,0.145772595,41,6,3,343,궁동
플라밍고 733(궁동),34137 대전광역시 유성구 대학로137번길 32 플라밍고 733,36.3625355,127.3489715,4.7,4665,0.102339181,20,11,4,342,궁동
투썸플레이스 충남대점(궁동),34167 대전광역시 유성구 대학로 87 투썸플레이스,36.361319,127.3438984,4.46,5770.513,0.182539683,15,14,17,252,궁동
공차 충남대점(궁동),34138 대전광역시 유성구 대학로151번길 26 공차,36.3618137,127.3503102,4.55,5028.261,0.102380952,29,6,8,420,궁동
배스킨라빈스 충남대점(궁동),34137 대전광역시 유성구 대학로151번길 27 배스킨라빈스,36.3619266,127.3500307,4.45,4626.667,0.162257496,67,22,3,567,궁동
메가MGC커피 충남대점(궁동),34137 대전광역시  유성구 궁동로18번길 31 1층 메가MGC커피,36.3628583,127.3491683,4.4,3374,0.090146751,24,15,4,477,궁동
이디야 충남대점(궁동),34137 대전광역시 유성구 궁동로18번길 14 이디야,36.362661,127.3481938,4.53,4106.061,0.166666667,26,3,14,258,궁동
더벤티 충남대점(궁동),34137 대전광역시 유성구 궁동로18번길 45 1층 더벤티,36.3628457,127.3498348,4.68,3350,0.064516129,13,1,0,217,궁동
팔공티 충남대점(궁동),34137 대전광역시 유성구 대학로151번길 45 1층 팔공티,36.3626015,127.3500117,4.55,3691,0.082417582,26,2,2,364,궁동
파리바게뜨 대전(궁동),34137 대전광역시 유성구 대학로151번길 39 (궁동) 1층 파리바게뜨,36.362414,127.3500022,4.6,3911.321,0.141732283,32,3,1,254,궁동
던킨 대전충남대점(궁동),"34183 대전 유성구 대학로 86 1층 108, 109, 111호 던킨",36.3610589,127.344783,4.56,4306.897,0.247572816,60,24,18,412,궁동
쥬씨(궁동),34138 대전광역시 유성구 궁동로18번길 57 쥬씨,36.3628512,127.3505144,4.48,3556,0.01971831,7,0,0,355,궁동
루티나(봉명동),34185 대전광역시 유성구 온천북로 19 1층 루티나,36.3571471,127.3451084,4,5500,0.132319392,135,22,17,1315,봉명동
유람(봉명동),34180 대전광역시 유성구 도안대로 553-1 카페 유람,36.3495223,127.3397426,4.3,6074,0.061088977,46,0,0,753,봉명동
엔제리너스 대전유성D/I점(봉명동),34184 대전광역시 유성구 한밭대로492번길 15 엔제리너스,36.3589468,127.3524083,4.3,6058,0.071782178,23,4,2,404,봉명동
르뺑99-1(봉명동),34185 대전광역시 유성구 온천북로33번길 22-3 101호 르뺑99-1 ,36.3579,127.3473,4.43,5173,0.100088574,90,14,9,1129,봉명동
커피인터뷰(봉명동),34185 대전광역시 유성구 온천북로33번길 22-44 2동 지상1층(봉명동) 커피인터뷰,36.357,127.3484,4.4,6176,0.094801223,42,16,4,654,봉명동
달콩수제팥빙수단팥죽(봉명동),34179 대전광역시 유성구 계룡로74번길 59 달콩수제팥빙수단팥죽,36.3518075,127.3383741,4.53,4125,0.079295154,17,0,1,227,봉명동
블레스롤 대전유성본점(봉명동),34184 대전광역시 유성구 한밭대로492번길 7 블레스롤,36.358998,127.3535939,4.47,5545,0.158286778,104,55,11,1074,봉명동
하루팡(봉명동),34184 대전광역시 유성구 문화원로 77 예성그랑펠리체 1층 109호 하루팡,36.3594379,127.3443841,4.45,3761,0.102725367,45,3,1,477,봉명동
파이룸(봉명동),34168 대전광역시 유성구 대학로 39-10 103호 파이룸 ,36.3576,127.3426282,4.7,3700,0.118446602,55,2,4,515,봉명동
